Id,Type,Time,Level,Volts
2,moist,2015-06-10 14:35:02,602,1.94
1,moist,2015-06-10 14:45:02,305,0.98
2,moist,2015-06-10 14:45:02,600,1.94
1,moist,2015-06-10 14:55:02,304,0.98
2,moist,2015-06-10 14:55:02,601,1.94
1,moist,2015-06-10 15:05:02,303,0.98
2,moist,2015-06-10 15:05:02,599,1.93
1,moist,2015-06-10 15:15:02,304,0.98
2,moist,2015-06-10 15:15:02,598,1.93
1,moist,2015-06-10 15:25:02,304,0.98
2,moist,2015-06-10 15:25:02,599,1.93
1,moist,2015-06-10 15:35:02,301,0.97
2,moist,2015-06-10 15:35:02,598,1.93
1,moist,2015-06-10 15:45:02,300,0.97
2,moist,2015-06-10 15:45:02,598,1.93
1,moist,2015-06-10 15:55:02,301,0.97
2,moist,2015-06-10 15:55:02,597,1.93
1,moist,2015-06-10 16:05:02,301,0.97
2,moist,2015-06-10 16:05:02,596,1.92
1,moist,2015-06-10 16:15:02,300,0.97
2,moist,2015-06-10 16:15:02,596,1.92
1,moist,2015-06-10 16:25:02,299,0.96
2,moist,2015-06-10 16:25:02,594,1.92
1,moist,2015-06-10 16:35:02,300,0.97
2,moist,2015-06-10 16:35:02,595,1.92
1,moist,2015-06-10 16:45:02,298,0.96
2,moist,2015-06-10 16:45:02,593,1.91
1,moist,2015-06-10 16:55:02,298,0.96
2,moist,2015-06-10 16:55:02,593,1.91
1,moist,2015-06-10 17:05:02,300,0.97
2,moist,2015-06-10 17:05:02,594,1.92
1,moist,2015-06-10 17:15:02,297,0.96
2,moist,2015-06-10 17:15:02,594,1.92
1,moist,2015-06-10 17:25:02,298,0.96
2,moist,2015-06-10 17:25:02,593,1.91
1,moist,2015-06-10 17:35:02,296,0.95
2,moist,2015-06-10 17:35:02,593,1.91
1,moist,2015-06-10 17:45:02,298,0.96
2,moist,2015-06-10 17:45:02,591,1.91
1,moist,2015-06-10 17:55:02,297,0.96
2,moist,2015-06-10 17:55:02,590,1.9
1,moist,2015-06-10 18:05:02,300,0.97
2,moist,2015-06-10 18:05:02,592,1.91
1,moist,2015-06-10 18:15:02,295,0.95
2,moist,2015-06-10 18:15:02,590,1.9
1,moist,2015-06-10 18:25:02,296,0.95
2,moist,2015-06-10 18:25:02,590,1.9
1,moist,2015-06-10 18:35:02,295,0.95
2,moist,2015-06-10 18:35:02,590,1.9
1,moist,2015-06-10 18:45:02,294,0.95
2,moist,2015-06-10 18:45:02,591,1.91
1,moist,2015-06-10 18:55:02,295,0.95
2,moist,2015-06-10 18:55:02,589,1.9
1,moist,2015-06-10 19:05:02,295,0.95
2,moist,2015-06-10 19:05:02,587,1.89
1,moist,2015-06-10 19:15:02,294,0.95
2,moist,2015-06-10 19:15:02,588,1.9
1,moist,2015-06-10 19:25:02,293,0.95
2,moist,2015-06-10 19:25:02,588,1.9
1,moist,2015-06-10 19:35:02,292,0.94
2,moist,2015-06-10 19:35:02,587,1.89
1,moist,2015-06-10 19:45:02,292,0.94
2,moist,2015-06-10 19:45:02,588,1.9
1,moist,2015-06-10 19:55:02,292,0.94
2,moist,2015-06-10 19:55:02,587,1.89
1,moist,2015-06-10 20:05:02,291,0.94
2,moist,2015-06-10 20:05:02,587,1.89
1,moist,2015-06-10 20:15:02,291,0.94
2,moist,2015-06-10 20:15:02,586,1.89
1,moist,2015-06-10 20:25:02,291,0.94
2,moist,2015-06-10 20:25:02,586,1.89
1,moist,2015-06-10 20:35:02,291,0.94
2,moist,2015-06-10 20:35:02,583,1.88
1,moist,2015-06-10 20:45:02,294,0.95
2,moist,2015-06-10 20:45:02,581,1.87
1,moist,2015-06-10 20:55:02,294,0.95
2,moist,2015-06-10 20:55:02,583,1.88
1,moist,2015-06-10 21:05:02,292,0.94
2,moist,2015-06-10 21:05:02,580,1.87
1,moist,2015-06-10 21:15:02,292,0.94
2,moist,2015-06-10 21:15:02,581,1.87
1,moist,2015-06-10 21:25:02,290,0.94
2,moist,2015-06-10 21:25:02,580,1.87
1,moist,2015-06-10 21:35:02,290,0.94
2,moist,2015-06-10 21:35:02,581,1.87
1,moist,2015-06-10 21:45:02,292,0.94
2,moist,2015-06-10 21:45:02,580,1.87
1,moist,2015-06-10 21:55:02,291,0.94
2,moist,2015-06-10 21:55:02,579,1.87
1,moist,2015-06-10 22:05:02,290,0.94
2,moist,2015-06-10 22:05:02,578,1.86
1,moist,2015-06-10 22:15:02,290,0.94
2,moist,2015-06-10 22:15:02,579,1.87
1,moist,2015-06-10 22:25:02,290,0.94
2,moist,2015-06-10 22:25:02,580,1.87
1,moist,2015-06-10 22:35:02,289,0.93
2,moist,2015-06-10 22:35:02,579,1.87
1,moist,2015-06-10 22:45:02,292,0.94
2,moist,2015-06-10 22:45:02,579,1.87
1,moist,2015-06-10 22:55:02,289,0.93
2,moist,2015-06-10 22:55:02,577,1.86
1,moist,2015-06-10 23:05:02,289,0.93
2,moist,2015-06-10 23:05:02,576,1.86
1,moist,2015-06-10 23:15:02,288,0.93
2,moist,2015-06-10 23:15:02,577,1.86
1,moist,2015-06-10 23:25:02,289,0.93
2,moist,2015-06-10 23:25:02,576,1.86
1,moist,2015-06-10 23:35:02,288,0.93
2,moist,2015-06-10 23:35:02,576,1.86
1,moist,2015-06-10 23:45:02,289,0.93
2,moist,2015-06-10 23:45:02,574,1.85
1,moist,2015-06-10 23:55:02,289,0.93
2,moist,2015-06-10 23:55:02,576,1.86
1,moist,2015-06-11 00:05:02,290,0.94
2,moist,2015-06-11 00:05:02,576,1.86
1,moist,2015-06-11 00:15:02,289,0.93
2,moist,2015-06-11 00:15:02,577,1.86
1,moist,2015-06-11 00:25:02,289,0.93
2,moist,2015-06-11 00:25:02,575,1.85
1,moist,2015-06-11 00:35:02,290,0.94
2,moist,2015-06-11 00:35:02,576,1.86
1,moist,2015-06-11 00:45:02,288,0.93
2,moist,2015-06-11 00:45:02,576,1.86
1,moist,2015-06-11 00:55:02,287,0.93
2,moist,2015-06-11 00:55:02,574,1.85
1,moist,2015-06-11 01:05:02,288,0.93
2,moist,2015-06-11 01:05:02,574,1.85
1,moist,2015-06-11 01:15:02,289,0.93
2,moist,2015-06-11 01:15:02,577,1.86
1,moist,2015-06-11 01:25:02,288,0.93
2,moist,2015-06-11 01:25:02,573,1.85
1,moist,2015-06-11 01:35:02,289,0.93
2,moist,2015-06-11 01:35:02,573,1.85
1,moist,2015-06-11 01:45:02,288,0.93
2,moist,2015-06-11 01:45:02,573,1.85
1,moist,2015-06-11 01:55:02,290,0.94
2,moist,2015-06-11 01:55:02,574,1.85
1,moist,2015-06-11 02:05:02,291,0.94
2,moist,2015-06-11 02:05:02,572,1.85
1,moist,2015-06-11 02:15:02,291,0.94
2,moist,2015-06-11 02:15:02,572,1.85
1,moist,2015-06-11 02:25:02,290,0.94
2,moist,2015-06-11 02:25:02,572,1.85
1,moist,2015-06-11 02:35:02,289,0.93
2,moist,2015-06-11 02:35:02,571,1.84
1,moist,2015-06-11 02:45:02,290,0.94
2,moist,2015-06-11 02:45:02,568,1.83
1,moist,2015-06-11 02:55:02,291,0.94
2,moist,2015-06-11 02:55:02,569,1.84
1,moist,2015-06-11 03:05:02,289,0.93
2,moist,2015-06-11 03:05:02,569,1.84
1,moist,2015-06-11 03:15:02,289,0.93
2,moist,2015-06-11 03:15:02,569,1.84
1,moist,2015-06-11 03:25:02,289,0.93
2,moist,2015-06-11 03:25:02,570,1.84
1,moist,2015-06-11 03:35:02,290,0.94
2,moist,2015-06-11 03:35:02,569,1.84
1,moist,2015-06-11 03:45:02,287,0.93
2,moist,2015-06-11 03:45:02,568,1.83
1,moist,2015-06-11 03:55:02,290,0.94
2,moist,2015-06-11 03:55:02,571,1.84
1,moist,2015-06-11 04:05:02,289,0.93
2,moist,2015-06-11 04:05:02,569,1.84
1,moist,2015-06-11 04:15:02,289,0.93
2,moist,2015-06-11 04:15:02,571,1.84
1,moist,2015-06-11 04:25:02,289,0.93
2,moist,2015-06-11 04:25:02,570,1.84
1,moist,2015-06-11 04:35:02,290,0.94
2,moist,2015-06-11 04:35:02,571,1.84
1,moist,2015-06-11 04:45:02,288,0.93
2,moist,2015-06-11 04:45:02,570,1.84
1,moist,2015-06-11 04:55:02,289,0.93
2,moist,2015-06-11 04:55:02,572,1.85
1,moist,2015-06-11 05:05:02,288,0.93
2,moist,2015-06-11 05:05:02,571,1.84
1,moist,2015-06-11 05:15:02,289,0.93
2,moist,2015-06-11 05:15:02,571,1.84
1,moist,2015-06-11 05:25:02,287,0.93
2,moist,2015-06-11 05:25:02,570,1.84
1,moist,2015-06-11 05:35:02,286,0.92
2,moist,2015-06-11 05:35:02,571,1.84
1,moist,2015-06-11 05:45:02,290,0.94
2,moist,2015-06-11 05:45:02,572,1.85
1,moist,2015-06-11 05:55:02,289,0.93
2,moist,2015-06-11 05:55:02,571,1.84
1,moist,2015-06-11 06:05:02,288,0.93
2,moist,2015-06-11 06:05:02,571,1.84
1,moist,2015-06-11 06:15:02,290,0.94
2,moist,2015-06-11 06:15:02,572,1.85
1,moist,2015-06-11 06:25:02,288,0.93
2,moist,2015-06-11 06:25:02,570,1.84
1,moist,2015-06-11 06:35:02,287,0.93
2,moist,2015-06-11 06:35:02,568,1.83
1,moist,2015-06-11 06:45:02,288,0.93
2,moist,2015-06-11 06:45:02,571,1.84
1,moist,2015-06-11 06:55:02,290,0.94
2,moist,2015-06-11 06:55:02,571,1.84
1,moist,2015-06-11 07:05:02,288,0.93
2,moist,2015-06-11 07:05:02,570,1.84
1,moist,2015-06-11 07:15:02,288,0.93
2,moist,2015-06-11 07:15:02,571,1.84
1,moist,2015-06-11 07:25:02,287,0.93
2,moist,2015-06-11 07:25:02,569,1.84
1,moist,2015-06-11 07:35:02,288,0.93
2,moist,2015-06-11 07:35:02,569,1.84
1,moist,2015-06-11 07:45:02,281,0.91
2,moist,2015-06-11 07:45:02,568,1.83
1,moist,2015-06-11 07:55:02,285,0.92
2,moist,2015-06-11 07:55:02,568,1.83
1,moist,2015-06-11 08:05:02,285,0.92
2,moist,2015-06-11 08:05:02,567,1.83
1,moist,2015-06-11 08:15:02,283,0.91
2,moist,2015-06-11 08:15:02,565,1.82
1,moist,2015-06-11 08:25:02,284,0.92
2,moist,2015-06-11 08:25:02,564,1.82
1,moist,2015-06-11 08:35:02,286,0.92
2,moist,2015-06-11 08:35:02,564,1.82
1,moist,2015-06-11 08:45:02,284,0.92
2,moist,2015-06-11 08:45:02,563,1.82
1,moist,2015-06-11 08:55:02,285,0.92
2,moist,2015-06-11 08:55:02,562,1.81
1,moist,2015-06-11 09:05:02,282,0.91
2,moist,2015-06-11 09:05:02,562,1.81
1,moist,2015-06-11 09:15:02,283,0.91
2,moist,2015-06-11 09:15:02,561,1.81
1,moist,2015-06-11 09:25:02,283,0.91
2,moist,2015-06-11 09:25:02,561,1.81
1,moist,2015-06-11 09:35:02,283,0.91
2,moist,2015-06-11 09:35:02,560,1.81
1,moist,2015-06-11 09:45:02,284,0.92
2,moist,2015-06-11 09:45:02,559,1.8
1,moist,2015-06-11 09:55:02,284,0.92
2,moist,2015-06-11 09:55:02,558,1.8
1,moist,2015-06-11 10:05:02,282,0.91
2,moist,2015-06-11 10:05:02,558,1.8
1,moist,2015-06-11 10:15:02,283,0.91
2,moist,2015-06-11 10:15:02,559,1.8
1,moist,2015-06-11 10:25:02,282,0.91
2,moist,2015-06-11 10:25:02,558,1.8
1,moist,2015-06-11 10:35:02,283,0.91
2,moist,2015-06-11 10:35:02,558,1.8
1,moist,2015-06-11 10:45:02,282,0.91
2,moist,2015-06-11 10:45:02,558,1.8
1,moist,2015-06-11 10:55:02,283,0.91
2,moist,2015-06-11 10:55:02,558,1.8
1,moist,2015-06-11 11:05:02,282,0.91
2,moist,2015-06-11 11:05:02,556,1.79
1,moist,2015-06-11 11:15:02,283,0.91
2,moist,2015-06-11 11:15:02,555,1.79
1,moist,2015-06-11 11:25:02,283,0.91
2,moist,2015-06-11 11:25:02,554,1.79
1,moist,2015-06-11 11:35:02,282,0.91
2,moist,2015-06-11 11:35:02,553,1.78
1,moist,2015-06-11 11:45:02,283,0.91
2,moist,2015-06-11 11:45:02,555,1.79
1,moist,2015-06-11 11:55:02,281,0.91
2,moist,2015-06-11 11:55:02,554,1.79
1,moist,2015-06-11 12:05:02,279,0.9
2,moist,2015-06-11 12:05:02,553,1.78
1,moist,2015-06-11 12:15:02,282,0.91
2,moist,2015-06-11 12:15:02,555,1.79
1,moist,2015-06-11 12:25:02,282,0.91
2,moist,2015-06-11 12:25:02,554,1.79
1,moist,2015-06-11 12:35:02,281,0.91
2,moist,2015-06-11 12:35:02,554,1.79
1,moist,2015-06-11 12:45:02,278,0.9
2,moist,2015-06-11 12:45:02,552,1.78
1,moist,2015-06-11 12:55:02,281,0.91
2,moist,2015-06-11 12:55:02,552,1.78
1,moist,2015-06-11 13:05:02,283,0.91
2,moist,2015-06-11 13:05:02,553,1.78
1,moist,2015-06-11 13:15:02,282,0.91
2,moist,2015-06-11 13:15:02,552,1.78
1,moist,2015-06-11 13:25:02,279,0.9
2,moist,2015-06-11 13:25:02,551,1.78
1,moist,2015-06-11 13:35:02,278,0.9
2,moist,2015-06-11 13:35:02,551,1.78
1,moist,2015-06-11 13:45:02,278,0.9
2,moist,2015-06-11 13:45:02,550,1.77
1,moist,2015-06-11 13:55:02,280,0.9
2,moist,2015-06-11 13:55:02,551,1.78
1,moist,2015-06-11 14:05:02,281,0.91
2,moist,2015-06-11 14:05:02,550,1.77
1,moist,2015-06-11 14:15:02,279,0.9
2,moist,2015-06-11 14:15:02,548,1.77
1,moist,2015-06-11 14:25:02,280,0.9
2,moist,2015-06-11 14:25:02,551,1.78
1,moist,2015-06-11 14:35:02,278,0.9
2,moist,2015-06-11 14:35:02,548,1.77
1,moist,2015-06-11 14:45:02,279,0.9
2,moist,2015-06-11 14:45:02,549,1.77
1,moist,2015-06-11 14:55:02,279,0.9
2,moist,2015-06-11 14:55:02,550,1.77
1,moist,2015-06-11 15:05:02,278,0.9
2,moist,2015-06-11 15:05:02,548,1.77
1,moist,2015-06-11 15:15:02,275,0.89
2,moist,2015-06-11 15:15:02,548,1.77
1,moist,2015-06-11 15:25:02,278,0.9
2,moist,2015-06-11 15:25:02,547,1.76
1,moist,2015-06-11 15:35:02,278,0.9
2,moist,2015-06-11 15:35:02,547,1.76
1,moist,2015-06-11 15:45:02,278,0.9
2,moist,2015-06-11 15:45:02,547,1.76
1,moist,2015-06-11 15:55:02,278,0.9
2,moist,2015-06-11 15:55:02,545,1.76
1,moist,2015-06-11 16:05:02,278,0.9
2,moist,2015-06-11 16:05:02,544,1.75
1,moist,2015-06-11 16:15:02,277,0.89
2,moist,2015-06-11 16:15:02,545,1.76
1,moist,2015-06-11 16:25:02,278,0.9
2,moist,2015-06-11 16:25:02,546,1.76
1,moist,2015-06-11 16:35:02,278,0.9
2,moist,2015-06-11 16:35:02,546,1.76
1,moist,2015-06-11 16:45:02,277,0.89
2,moist,2015-06-11 16:45:02,545,1.76
1,moist,2015-06-11 16:55:02,278,0.9
2,moist,2015-06-11 16:55:02,546,1.76
1,moist,2015-06-11 17:05:02,277,0.89
2,moist,2015-06-11 17:05:02,544,1.75
1,moist,2015-06-11 17:15:02,279,0.9
2,moist,2015-06-11 17:15:02,538,1.74
1,moist,2015-06-11 17:25:02,278,0.9
2,moist,2015-06-11 17:25:02,542,1.75
1,moist,2015-06-11 17:35:02,278,0.9
2,moist,2015-06-11 17:35:02,544,1.75
1,moist,2015-06-11 17:45:02,276,0.89
2,moist,2015-06-11 17:45:02,544,1.75
1,moist,2015-06-11 17:55:02,278,0.9
2,moist,2015-06-11 17:55:02,545,1.76
1,moist,2015-06-11 18:05:02,276,0.89
2,moist,2015-06-11 18:05:02,544,1.75
1,moist,2015-06-11 18:15:02,916,2.95
2,moist,2015-06-11 18:15:02,912,2.94
1,moist,2015-06-11 18:25:02,239,0.77
2,moist,2015-06-11 18:25:02,163,0.53
1,moist,2015-06-11 18:35:02,251,0.81
2,moist,2015-06-11 18:35:02,172,0.55
1,moist,2015-06-11 18:45:02,259,0.84
2,moist,2015-06-11 18:45:02,173,0.56
1,moist,2015-06-11 18:55:02,267,0.86
2,moist,2015-06-11 18:55:02,178,0.57
1,moist,2015-06-11 19:05:02,271,0.87
2,moist,2015-06-11 19:05:02,180,0.58
1,moist,2015-06-11 19:15:02,280,0.9
2,moist,2015-06-11 19:15:02,184,0.59
1,moist,2015-06-11 19:25:02,280,0.9
2,moist,2015-06-11 19:25:02,186,0.6
1,moist,2015-06-11 19:35:02,280,0.9
2,moist,2015-06-11 19:35:02,189,0.61
1,moist,2015-06-11 19:45:02,276,0.89
2,moist,2015-06-11 19:45:02,193,0.62
1,moist,2015-06-11 19:55:02,281,0.91
2,moist,2015-06-11 19:55:02,200,0.65
1,moist,2015-06-11 20:05:02,282,0.91
2,moist,2015-06-11 20:05:02,199,0.64
1,moist,2015-06-11 20:15:02,280,0.9
2,moist,2015-06-11 20:15:02,205,0.66
1,moist,2015-06-11 20:25:02,280,0.9
2,moist,2015-06-11 20:25:02,208,0.67
1,moist,2015-06-11 20:35:02,281,0.91
2,moist,2015-06-11 20:35:02,210,0.68
1,moist,2015-06-11 20:45:02,281,0.91
